"Method","Trial","Time"
"decrypt","21","0.1050716"
"decrypt","56","0.0840433"
"decrypt","46","0.0809182"
"decrypt","75","0.0826742"
"decrypt","79","0.0870621"
"decrypt","84","0.084512"
"decrypt","32","0.0873972"
"decrypt","89","0.0840018"
"decrypt","31","0.0854983"
"decrypt","15","0.0852451"
"decrypt","25","0.0859534"
"decrypt","18","0.0817846"
"decrypt","42","0.0816165"
"decrypt","100","0.0807484"
