"Method","Trial","Time"
"decrypt","43","0.0849969"
"decrypt","95","0.0829982"
"decrypt","80","0.0900019"
"decrypt","35","0.0835014"
"decrypt","41","0.0839849"
"decrypt","5","0.0814853"
"decrypt","34","0.0834997"
"decrypt","6","0.0806156"
"decrypt","53","0.08069"
"decrypt","2","0.0861476"
"decrypt","44","0.0821454"
"decrypt","98","0.084998"
"decrypt","72","0.088499"
"decrypt","11","0.0916199"
"decrypt","70","0.0854972"
"decrypt","68","0.083501"
"decrypt","1","0.0845299"
"decrypt","58","0.0806527"
"decrypt","55","0.0815003"
"decrypt","33","0.0809991"
"decrypt","88","0.086"
"decrypt","67","0.0849997"
"decrypt","27","0.0839983"
"decrypt","16","0.0836785"
"decrypt","64","0.0864995"
"decrypt","24","0.1074604"
"decrypt","19","0.0854931"
"decrypt","29","0.081007"
"decrypt","61","0.0884999"
"decrypt","94","0.0808414"
"decrypt","97","0.0899814"
"decrypt","9","0.0855934"
"decrypt","74","0.0825025"
"decrypt","37","0.0780043"
"decrypt","7","0.0838859"
"decrypt","52","0.0815774"
"decrypt","81","0.3489998"
"decrypt","39","0.0884902"
"decrypt","48","0.081546"
"decrypt","93","0.0854983"
"decrypt","90","0.0839795"
"decrypt","21","0.0824991"
"decrypt","56","0.3485248"
"decrypt","46","0.0860002"
"decrypt","75","0.0890031"
"decrypt","79","0.0890006"
"decrypt","84","0.0814883"
"decrypt","32","0.0820009"
"decrypt","89","0.0814974"
"decrypt","31","0.085502"
"decrypt","15","0.0823923"
"decrypt","25","0.0906496"
"decrypt","18","0.0805205"
"decrypt","42","0.0819871"
"decrypt","100","0.0827544"
