"Method","Trial","Time"
"encrypt","78","0.0960215"
"encrypt","10","0.0833723"
"encrypt","63","0.0855025"
"encrypt","30","0.0864985"
"encrypt","87","0.0845005"
"encrypt","49","0.0990005"
"encrypt","62","0.0809995"
"encrypt","22","0.0870003"
"encrypt","13","0.08473"
"encrypt","47","0.0900014"
"encrypt","71","0.0819989"
"encrypt","77","0.0984993"
"encrypt","73","0.0849997"
"encrypt","91","0.0804802"
"encrypt","3","0.0801135"
"encrypt","8","0.0834998"
"encrypt","12","0.0905138"
"encrypt","65","0.0874989"
"encrypt","40","0.0904973"
"encrypt","14","0.0827354"
"encrypt","26","0.0924973"
"encrypt","17","0.0830319"
"encrypt","28","0.0869956"
"encrypt","99","0.0819978"
"encrypt","76","0.0909954"
"encrypt","36","0.0839988"
"encrypt","4","0.0785135"
"encrypt","50","0.0810032"
"encrypt","45","0.3475148"
"encrypt","60","0.0845007"
"encrypt","38","0.0845236"
"encrypt","83","0.0820015"
"encrypt","85","0.0814035"
"encrypt","96","0.1024974"
"encrypt","82","0.0920002"
"encrypt","23","0.0814222"
"encrypt","51","0.0844995"
"encrypt","92","0.0988904"
"encrypt","20","0.0822476"
"encrypt","59","0.0894119"
"encrypt","86","0.0864987"
"encrypt","69","0.0849979"
"encrypt","54","0.0824865"
"encrypt","66","0.0874973"
"encrypt","57","0.087071"
"encrypt","43","0.093501"
"encrypt","95","0.0809996"
"encrypt","80","0.0899974"
"encrypt","35","0.0825025"
"encrypt","41","0.0860138"
"encrypt","5","0.0795134"
"encrypt","34","0.083501"
"encrypt","6","0.0810015"
"encrypt","53","0.0814956"
"encrypt","2","0.0790189"
"encrypt","44","0.0809232"
"encrypt","98","0.1105029"
"encrypt","72","0.0859974"
"encrypt","11","0.0864987"
"encrypt","70","0.1200052"
"encrypt","68","0.0894999"
"encrypt","1","0.0874722"
"encrypt","58","0.0891883"
"encrypt","55","0.0845003"
"encrypt","33","0.0895001"
"encrypt","88","0.083502"
"encrypt","67","0.0959978"
"encrypt","27","0.0845"
"encrypt","16","0.0864982"
"encrypt","64","0.0844952"
"encrypt","24","0.0810341"
"encrypt","19","0.0839822"
"encrypt","29","0.0814991"
"encrypt","61","0.0848329"
"encrypt","94","0.0817571"
"encrypt","97","0.0815003"
"encrypt","9","0.0819976"
"encrypt","74","0.0849994"
"encrypt","37","0.0899962"
"encrypt","7","0.0785984"
"encrypt","52","0.0814616"
"encrypt","81","0.0880003"
"encrypt","39","0.0830025"
"encrypt","48","0.0834974"
"encrypt","93","0.0894873"
"encrypt","90","0.0852194"
"encrypt","21","0.0839937"
"encrypt","56","0.1050026"
"encrypt","46","0.0864989"
"encrypt","75","0.0919983"
"encrypt","79","0.0845017"
"encrypt","84","0.0800004"
"encrypt","32","0.0824971"
"encrypt","89","0.082501"
"encrypt","31","0.0814999"
"encrypt","15","0.0864985"
"encrypt","25","0.0895169"
"encrypt","18","0.0829972"
"encrypt","42","0.0830179"
"encrypt","100","0.0839999"
"decrypt","78","0.0854747"
"decrypt","10","0.0905022"
"decrypt","63","0.088504"
"decrypt","30","0.0838873"
"decrypt","87","0.0824994"
"decrypt","49","0.0799997"
"decrypt","62","0.0859989"
"decrypt","22","0.0965017"
"decrypt","13","0.0819974"
"decrypt","47","0.0880005"
"decrypt","71","0.1095008"
"decrypt","77","0.0854985"
"decrypt","73","0.0849984"
"decrypt","91","0.0809862"
"decrypt","3","0.0851173"
"decrypt","8","0.0845"
"decrypt","12","0.0808445"
"decrypt","65","0.0835145"
"decrypt","40","0.0870024"
"decrypt","14","0.0826884"
"decrypt","26","0.0890027"
"decrypt","17","0.0802209"
"decrypt","28","0.0900046"
"decrypt","99","0.0869996"
"decrypt","76","0.0884992"
"decrypt","36","0.0835004"
"decrypt","4","0.0866444"
"decrypt","50","0.0814949"
"decrypt","45","0.085487"
"decrypt","60","0.1005986"
"decrypt","38","0.0843971"
"decrypt","83","0.0837856"
"decrypt","85","0.1036199"
"decrypt","96","0.0819971"
"decrypt","82","0.0884819"
"decrypt","23","0.1131578"
"decrypt","51","0.0839996"
"decrypt","92","0.0870117"
"decrypt","20","0.0792487"
"decrypt","59","0.0889984"
"decrypt","86","0.0879981"
"decrypt","69","0.0885012"
"decrypt","54","0.0965602"
"decrypt","66","0.0865037"
"decrypt","57","0.0819667"
