"Method","Trial","Time"
"encrypt","16","3.4562342"
"encrypt","3","3.6583404"
"encrypt","5","4.4566446"
"encrypt","21","3.2942154"
"encrypt","18","3.6564058"
"encrypt","12","3.605111"
"encrypt","10","4.4565484"
"encrypt","2","4.2195936"
"encrypt","22","3.8691551"
"encrypt","8","3.7998862"
"encrypt","17","4.0406556"
"encrypt","11","3.9202373"
"encrypt","1","4.5164859"
"encrypt","9","4.2854463"
"encrypt","24","4.0366642"
"encrypt","14","4.0601759"
"encrypt","7","4.1431121"
"encrypt","15","3.7333134"
"encrypt","20","3.9783492"
"encrypt","25","4.5311979"
"encrypt","23","3.5915162"
"encrypt","6","4.3368161"
"encrypt","4","4.0352872"
"encrypt","19","3.0620004"
"encrypt","13","3.0982304"
"decrypt","16","4.2754992"
"decrypt","3","4.2963086"
"decrypt","5","4.1042528"
"decrypt","21","4.3430002"
"decrypt","18","4.3690355"
"decrypt","12","4.6241028"
"decrypt","10","4.1204991"
"decrypt","2","4.4655971"
"decrypt","22","4.3220028"
"decrypt","8","3.9426178"
"decrypt","17","4.5335019"
"decrypt","11","3.9184027"
"decrypt","1","3.9350124"
"decrypt","9","3.9545013"
"decrypt","24","3.6819986"
"decrypt","14","3.9200035"
"decrypt","7","4.1900011"
"decrypt","15","4.7617617"
"decrypt","20","4.1553118"
"decrypt","25","3.7741028"
"decrypt","23","4.1559836"
"decrypt","6","4.2700626"
"decrypt","4","3.9149991"
"decrypt","19","4.0679987"
"decrypt","13","3.8715011"
