"Method","Trial","Time"
"encrypt","16","4.0899355"
"encrypt","3","4.5895989"
"encrypt","5","4.2563971"
"encrypt","21","3.8485906"
"encrypt","18","4.4150529"
"encrypt","12","3.8439987"
"encrypt","10","4.187499"
"encrypt","2","4.1086156"
"encrypt","22","4.2119449"
"encrypt","8","3.960325"
"encrypt","17","4.1063224"
"encrypt","11","4.1054922"
"encrypt","1","3.9085186"
"encrypt","9","3.8279928"
"encrypt","24","3.9925209"
"encrypt","14","4.442704"
"encrypt","7","4.2062009"
"encrypt","15","3.6503855"
"encrypt","20","4.4870878"
"encrypt","25","4.0974248"
"encrypt","23","3.7077003"
"encrypt","6","4.6833432"
"encrypt","4","4.342481"
"encrypt","19","4.1518207"
"encrypt","13","3.9134204"
"decrypt","16","4.3246952"
"decrypt","3","4.2556856"
"decrypt","5","3.9816122"
"decrypt","21","4.3252564"
"decrypt","18","4.1647003"
"decrypt","12","4.4896785"
"decrypt","10","3.9021092"
"decrypt","2","4.1085018"
"decrypt","22","4.2036408"
"decrypt","8","4.3484993"
"decrypt","17","3.9414972"
"decrypt","11","4.6666362"
"decrypt","1","4.6269135"
"decrypt","9","3.9251354"
"decrypt","24","4.0673526"
"decrypt","14","4.0670902"
"decrypt","7","4.0562457"
"decrypt","15","4.5537064"
"decrypt","20","3.9771235"
"decrypt","25","4.1582848"
"decrypt","23","4.3715478"
"decrypt","6","4.2012476"
"decrypt","4","4.3950006"
"decrypt","19","4.0454969"
"decrypt","13","4.0140012"
